Operator/Tenant,Owner,"Warehouse Area (sq ft)","Warehouse Type","Lot Size","Year Opened",Address,County,"Zip code","Full Address",Neighborhood,"Site Description",Note,Link,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
??,Prologis,"390,000",,,upcoming,"46-81 Metropolitan Avenue",Queens,11385,"46-81 Metropolitan Avenue, Queens, New York 11385",Maspeth,,,https://therealdeal.com/new-york/2021/06/14/prologis-nabs-majority-stake-in-queens-industrial-site/,40.713944,-73.920902,1,rooftop,46-81,"Metropolitan Ave",,,Ridgewood,NY,"Queens County",11385,US,"City of New York"
"Sun Logistics Inc.",,"5,000",Storage/Misc.,0,,"4660 55th Avenue",Queens,11378,"4660 55th Avenue, Queens, New York 11378",Maspeth,,,"http://www.sunlogistics.com/Warehousing.htm#:~:text=Our%20facility%20in%20Maspeth%2C%20NY,of%20temperature%20controlled%20warehouse%20space.",40.728949,-73.920083,1,rooftop,46-60,"55th Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
??,Prologis,"223,00",Distribution,,upcoming,"48-00 Grand Avenue",Queens,11378,"48-00 Grand Avenue, Queens, New York 11378",Maspeth,,,https://therealdeal.com/new-york/2020/11/24/prologis-picks-up-maspeth-parcel-for-51m/,40.717439,-73.920147,0.99,rooftop,48-5,"Grand Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,"Realterm Logistics","27,323",Last-Mile,,upcoming,"4825 Baldwin Street",Bronx,10470,"4825 Baldwin Street, Bronx, New York 10470",,2-story,,https://properties.realterm.com/property/new-york/final-mile-distribution-warehouse/1427/?map=true,40.90836,-73.853006,1,rooftop,4825,"Baldwin St",,,Bronx,NY,"Bronx County",10470,US,"City of New York"
UPS,UPS,"47,200",Shipping/Mailing,0,,"49-10 27th Street",Queens,11101,"49-10 27th Street, Queens, New York 11101","Long Island City",,,https://www.compass.com/building/49-10-27th-st-queens-ny-11101/293417770333263045/,40.740864,-73.942538,1,rooftop,49-10,"27th St",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
IKEA,"XPO Logistics",??,??,,,"4915 Maspeth Avenue",Queens,11378,"4915 Maspeth Avenue, Queens, New York 11378",Maspeth,,,,40.722548,-73.918164,1,rooftop,49-15,"Maspeth Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
FedEx,"SIP Holdings","1,380,000",,690000,,"50 20th Street",Kings,11232,"50 20th Street, Kings, New York 11232","Sunset Park",,,"https://www.globest.com/2019/01/11/land-acquired-to-build-1-3m-sf-distribution-center-in-brooklyn/
https://www.dec.ny.gov/data/DecDocs/C224148/Agreement.BCP.C224148.2021-01-22.Executed%20BCA.pdf
https://bridgeindustrial.com/markets/?_markets=nj-nj",40.665107,-73.998495,1,range_interpolation,50,"20th St",,,Brooklyn,NY,"Kings County",11232,US,"TIGER/Line® dataset from the US Census Bureau"
UPS,,"475,000","Distribution Center",0,,"50-02 55th Avenue",Queens,11378,"50-02 55th Avenue, Queens, New York 11378",Maspeth,"Former Duane Reade warehouse",,https://metroairportnews.com/ups-buys-huge-red-hook-site-for-303m/,40.728065,-73.916361,1,rooftop,50-2,"55th Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,"Realterm Logistics","140,000",Last-Mile,,,"50-35 56th Road",Queens,11378,"50-35 56th Road, Queens, New York 11378",Maspeth,,,https://properties.realterm.com/property/brooklyn/final-mile-distribution-warehouse/1376/?map=true,40.725634,-73.916936,1,rooftop,50-35,"56th Rd",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
Amazon,,"139,700",Last-Mile,0,2022,"511 Barry Street",Bronx,10474,"511 Barry Street, Bronx, New York 10474","Hunts Point",,"Delivery Station for Manhattan and the Bronx; refrigerated",https://www.mwpvl.com/html/amazon_com.html,40.809405,-73.895442,1,rooftop,511,"Barry St",,,Bronx,NY,"Bronx County",10474,US,"City of New York"
